name,order,rank,slug,revenues_m,revenue_percent_change,profits_m,profits_percent_change,assets_m,total_shareholder_equity,profit_as_of_revenues,profits_as_of_assets,profit_as_a_of_shareholder_equity,industry,headquarters_state,market_value_m,ticker,year,employees,headquarters_city,gained_in_rank,dropped_in_rank,newcomer_to_the_fortune_500,profitable,founder_is_ceo,foreign_born_ceo,female_ceo,growth_in_jobs,sector,global_500,best_companies,world_s_most_admired_companies,change_the_world,fastest_growing_companies,change_in_rank_full_1000,change_in_rank_500_only,measure_up,measure_up_rank,state
Murphy Oil,625,625,/company/murphy-oil/,"$4,194",63.2%,"$1,149.7",179.7%,"$11,718.5",,,,,"Mining, Crude-Oil Production",AR,$941.4,MUR,2020,,El Dorado,,,,yes,no,,no,no,Energy,no,no,,,,218,,,,
Vertex Pharmaceuticals,626,626,/company/vertex-pharmaceuticals/,"$4,162.8",36.6%,"$1,176.8",-43.9%,"$8,318.5",,,,,Pharmaceuticals,MA,"$61,693",VRTX,2020,,Boston,,,,yes,no,,no,yes,Health Care,no,no,,,,126,,,,
First Republic Bank,627,627,/company/first-republic-bank/,"$4,156.7",16.3%,$930.3,9%,"$116,263.6",,,,,Commercial Banks,CA,"$14,093.5",FRC,2020,,San Francisco,,,,yes,yes,,no,yes,Financials,no,no,,,,52,,,,
Bloomin' Brands,628,628,/company/bloomin-brands/,"$4,139.4",0.3%,$130.6,21.9%,"$3,592.7",,,,,Food Services,FL,$621.4,BLMN,2020,,Tampa,,,,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,-13,,,,
Spectrum Brands Holdings,629,629,/company/hrg-group/,"$4,138.8",-24.8%,$471.9,-38.6%,"$5,230.5",,,,,Household and Personal Products,WI,"$1,669.2",SPB,2020,,Middleton,,,,yes,no,,no,no,Household Products,no,no,,,,-124,,,,
Quad/Graphics,630,630,/company/quadgraphics/,"$4,137.2",-1.3%,$-156.3,-1938.8%,"$2,417.1",,,,,"Publishing, Printing",WI,$136,QUAD,2020,,Sussex,,,,no,no,,no,no,Media,no,no,,,,-22,,,,
Flowers Foods,631,631,/company/flowers-foods/,"$4,124",4.4%,$164.5,4.7%,"$3,177.8",,,,,Food Consumer Products,GA,"$4,341.3",FLO,2020,,Thomasville,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,2,,,,
CUNA Mutual Group (TruStage),632,632,/company/cuna-mutual-group/,"$4,122.7",11.5%,$219.6,2.2%,"$24,609.6",,,,,"Insurance: Life, Health (stock)",WI,,,2020,,Madison,,,,yes,no,,no,yes,Financials,no,no,,,,30,,,,
ATI,633,633,/company/allegheny-technologies/,"$4,122.5",1.9%,$257.6,15.8%,"$5,634.6",,,,,Metals,PA,"$1,076.3",ATI,2020,,Pittsburgh,,,,yes,no,,no,no,Materials,no,no,,,,-12,,,,
Old Dominion Freight Line,634,634,/company/old-dominion-freight-line/,"$4,109.1",1.6%,$615.5,1.6%,"$3,995.6",,,,,"Trucking, Truck Leasing",NC,"$15,691.6",ODFL,2020,,Thomasville,,,,yes,no,,no,no,Transportation,no,no,,,,-12,,,,
Landstar System,635,635,/company/landstar-system/,"$4,089.6",-11.5%,$227.7,-10.8%,"$1,427.7",,,,,"Trucking, Truck Leasing",FL,"$3,784.9",LSTR,2020,,Jacksonville,,,,yes,no,,no,yes,Transportation,no,no,,,,-71,,,,
American National Group,636,636,/company/american-national-insurance/,"$4,070.1",22.4%,$620.4,290.2%,"$28,597.6",,,,,"Insurance: Life, Health (stock)",TX,"$2,215",,2020,,Galveston,,,,yes,no,,no,no,Financials,no,no,,,,74,,,,
Snap-on,637,637,/company/snap-on/,"$4,067.7",-0.1%,$693.5,2%,"$5,693.5",,,,,Industrial Machinery,WI,"$5,951.1",SNA,2020,,Kenosha,,,,yes,no,,no,yes,Industrials,no,no,,,,-18,,,,
Brookdale Senior Living,638,638,/company/brookdale-senior-living/,"$4,057.1",-10.5%,$-267.9,,"$7,194.4",,,,,Health Care: Medical Facilities,TN,$574.9,BKD,2020,,Brentwood,,,,no,no,,yes,no,Health Care,no,no,,,,-65,,,,
Amkor Technology,639,639,/company/amkor-technology/,"$4,052.7",-6.1%,$120.9,-4.9%,"$4,695.6",,,,,Semiconductors and Other Electronic Components,AZ,"$1,877.8",AMKR,2020,,Tempe,,,,yes,no,,no,no,Technology,no,no,,,,-47,,,,
Travel + Leisure,640,640,/company/wyndham-worldwide/,"$4,043",-13.1%,$507,-24.6%,"$7,453",,,,,"Hotels, Casinos, Resorts",FL,"$1,894.5",TNL,2020,,Orlando,,,,yes,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,-79,,,,
PPD,641,641,/company/ppd/,"$4,031",7.5%,$47.8,-54.1%,"$5,556.2",,,,,Health Care: Pharmacy and Other Services,NC,"$6,208.2",,2020,,Wilmington,,,,yes,no,,no,no,Health Care,no,no,,,,,,,,
Dentsply Sirona,642,642,/company/dentsply-sirona/,"$4,029.2",1.1%,$262.9,,"$8,602.9",,,,,Medical Products and Equipment,NC,"$8,598.5",XRAY,2020,,Charlotte,,,,yes,no,,no,no,Health Care,no,no,,,,-14,,,,
CNO Financial Group,643,643,/company/cno-financial-group/,"$4,015.8",-6.9%,$409.4,,"$33,630.9",,,,,"Insurance: Life, Health (stock)",IN,"$1,795.1",CNO,2020,,Carmel,,,,yes,no,,no,no,Financials,no,no,,,,-50,,,,
Urban Outfitters,644,644,/company/urban-outfitters/,"$3,983.8",0.8%,$168.1,-43.6%,"$3,315.6",,,,,Specialty Retailers: Apparel,PA,"$1,392.3",URBN,2020,,Philadelphia,,,,yes,yes,,no,no,Retailing,no,no,,,,-10,,,,
Sabre,645,645,/company/sabre/,"$3,975",2.8%,$158.6,-53%,"$5,690",,,,,Internet Services and Retailing,TX,"$1,623.4",SABR,2020,,Southlake,,,,yes,no,,no,yes,Technology,no,no,,,,-4,,,,
Mercury General,646,646,/company/mercury-general/,"$3,972.5",17.5%,$320.1,,"$5,889.2",,,,,Insurance: Property and Casualty (Stock),CA,"$2,254.2",MCY,2020,,Los Angeles,,,,yes,no,,no,yes,Financials,no,no,,,,55,,,,
Diamondback Energy,647,647,/company/diamondback-energy/,"$3,964",82.1%,$240,-71.6%,"$23,531",,,,,"Mining, Crude-Oil Production",TX,"$4,147.1",FANG,2020,,Midland,,,,yes,no,,no,yes,Energy,no,no,,,,288,,,,
Parsons,648,648,/company/parsons/,"$3,954.8",11.1%,$120.5,-45.8%,"$3,450.4",,,,,Aerospace & Defense,VA,"$3,217.4",PSN,2020,,Centreville,,,,yes,no,,no,yes,Aerospace & Defense,no,no,,,,,,,,
PROG Holdings,649,649,/company/aarons/,"$3,947.7",3.1%,$31.5,-84%,"$3,297.8",,,,,Specialty Retailers: Other,GA,"$1,520.4",PRG,2020,,Atlanta,,,,yes,no,,no,yes,Retailing,no,no,,,,-2,,,,
Flowserve,650,650,/company/flowserve/,"$3,944.9",2.9%,$253.7,112%,"$4,919.6",,,,,Industrial Machinery,TX,"$3,127.2",FLS,2020,,Irving,,,,yes,no,,no,no,Industrials,no,no,,,,-5,,,,
Carvana,651,651,/company/carvana/,"$3,939.9",101.5%,$-114.7,,"$2,057.7",,,,,"Automotive Retailing, Services",AZ,"$8,480",CVNA,2020,,Tempe,,,,no,yes,,no,yes,Retailing,no,no,,,,349,,,,
ASGN,652,652,/company/asgn/,"$3,923.9",15.4%,$174.7,10.8%,"$2,941.4",,,,,Temporary Help,CA,"$1,872",ASGN,2020,,Calabasas,,,,yes,no,,no,no,Business Services,no,no,,,,46,,,,
Sally Beauty Holdings,653,653,/company/sally-beauty-holdings/,"$3,876.4",-1.4%,$271.6,5.3%,"$2,098.4",,,,,Specialty Retailers: Other,TX,$943.6,SBH,2020,,Denton,,,,yes,no,,no,yes,Retailing,no,no,,,,-18,,,,
ScanSource,654,654,/company/scansource/,"$3,873.1",0.7%,$57.6,73.7%,"$2,067.3",,,,,Wholesalers: Electronics and Office Equipment,SC,$542.1,SCSC,2020,,Greenville,,,,yes,yes,,no,yes,Wholesalers,no,no,,,,-11,,,,
Ventas,655,655,/company/ventas/,"$3,872.8",3.4%,$433,5.8%,"$24,692.2",,,,,Real estate,IL,"$9,992.7",VTR,2020,,Chicago,,,,yes,no,,yes,yes,Financials,no,no,,,,2,,,,
Country Financial,656,656,/company/country-financial/,"$3,868.1",6.6%,$167.3,-22.3%,"$15,724.8",,,,,Insurance: Property and Casualty (Mutual),IL,,,2020,,Bloomington,,,,yes,no,,no,yes,Financials,no,no,,,,15,,,,
TriNet Group,657,657,/company/trinet-group/,"$3,856",10.1%,$212,10.4%,"$2,748",,,,,Diversified Outsourcing Services,CA,"$2,589.1",TNET,2020,,Dublin,,,,yes,no,,no,no,Business Services,no,no,,,,27,,,,
Spirit Airlines,658,658,/company/spirit-airlines/,"$3,830.5",15.3%,$335.3,115.3%,"$7,043.4",,,,,Airlines,FL,$882.4,SAVEQ,2020,,Miramar,,,,yes,no,,no,yes,Transportation,no,no,,,,53,,,,
Comerica,659,659,/company/comerica/,"$3,817",6.2%,"$1,198",-3%,"$73,402",,,,,Commercial Banks,TX,"$4,117.7",CMA,2020,,Dallas,,,,yes,no,,no,no,Financials,no,no,,,,15,,,,
Lennox International,660,660,/company/lennox-international/,"$3,807.2",-2%,$408.7,13.8%,"$2,034.9",,,,,Industrial Machinery,TX,"$7,016.9",LII,2020,,Richardson,,,,yes,no,,no,no,Industrials,no,no,,,,-23,,,,
Timken,661,661,/company/timken/,"$3,789.9",5.8%,$362.1,19.6%,"$4,859.9",,,,,Industrial Machinery,OH,"$2,451.8",TKR,2020,,North Canton,,,,yes,no,,no,yes,Industrials,no,no,,,,17,,,,
Paychex,662,662,/company/paychex/,"$3,772.5",11.6%,"$1,034.4",10.8%,"$8,676",,,,,Diversified Outsourcing Services,NY,"$22,570.4",PAYX,2020,,Rochester,,,,yes,no,,no,yes,Business Services,no,no,,,,38,,,,
U-Haul Holding,663,663,/company/amerco/,"$3,768.7",4.7%,$370.9,-53.1%,"$11,891.7",,,,,"Trucking, Truck Leasing",NV,"$5,697",UHAL,2020,,Reno,,,,yes,no,,no,yes,Transportation,no,no,,,,10,,,,
Worthington Enterprises,664,664,/company/worthington-industries/,"$3,759.6",5%,$153.5,-21.2%,"$2,510.8",,,,,Metals,OH,"$1,433.2",WOR,2020,,Columbus,,,,yes,no,,no,no,Materials,no,no,,,,13,,,,
Lamb Weston Holdings,665,665,/company/lamb-weston-holdings/,"$3,756.5",9.7%,$478.6,14.8%,"$3,048.1",,,,,Food Consumer Products,ID,"$8,341.9",LW,2020,,Eagle,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,29,,,,
Laureate Education,666,666,/company/laureate-education/,"$3,752.1",-11.1%,$938.5,153.6%,"$6,515.6",,,,,Education,MD,"$2,203.3",LAUR,2020,,Baltimore,,,,yes,no,,no,no,Business Services,no,no,,,,-60,,,,
Penn Mutual,667,667,/company/penn-mutual-life-insurance/,"$3,705.1",14.7%,$396,18.8%,"$36,678.6",,,,,"Insurance: Life, Health (stock)",PA,,,2020,,Horsham,,,,yes,no,,yes,yes,Financials,no,no,,,,56,,,,
iHeartMedia,668,668,/company/iheartmedia/,"$3,683.5",-41.8%,,,"$11,021.1",,,,,Entertainment,TX,"$1,073.8",IHRT,2020,,San Antonio,,,,no,no,,no,no,Media,no,no,,,,-202,,,,
Brink's,669,669,/company/brinks/,"$3,683.2",5.6%,$29,,"$3,763.8",,,,,Diversified Outsourcing Services,VA,"$2,625.2",BCO,2020,,Richmond,,,,yes,no,,no,yes,Business Services,no,no,,,,18,,,,
Sentry Insurance Group,670,670,/company/sentry-insurance-group/,"$3,680.8",5.2%,$324.3,29.4%,"$19,752.6",,,,,Insurance: Property and Casualty (Mutual),WI,,,2020,,Stevens Point,,,,yes,no,,no,yes,Financials,no,no,,,,15,,,,
Acuity Brands,671,671,/company/acuity-brands/,"$3,672.7",-0.2%,$330.4,-5.5%,"$3,172.4",,,,,"Electronics, Electrical Equip.",GA,"$3,393.8",AYI,2020,,Atlanta,,,,yes,no,,no,no,Industrials,no,no,,,,-6,,,,
Hub Group,672,672,/company/hub-group/,"$3,668.1",-17.1%,$107.2,-46.9%,"$1,991.6",,,,,Transportation and Logistics,IL,"$1,557.3",HUBG,2020,,Oak Brook,,,,yes,no,,no,no,Transportation,no,no,,,,-87,,,,
Meritage Homes Corporation,673,673,/company/meritage-homes/,"$3,666.9",3.9%,$249.7,9.8%,"$3,398.2",,,,,Homebuilders,AZ,"$1,372.7",MTH,2020,,Scottsdale,,,,yes,no,,no,no,Engineering & Construction,no,no,,,,9,,,,
MRC Global,674,674,/company/mrc-global/,"$3,662",-12.2%,$39,-47.3%,"$2,325",,,,,"Oil and Gas Equipment, Services",TX,$349.6,MRC,2020,,Houston,,,,yes,no,,no,no,Energy,no,no,,,,-64,,,,
Alliant Energy,675,675,/company/alliant-energy/,"$3,647.7",3.2%,$557.2,8.8%,"$16,700.7",,,,,Utilities: Gas and Electric,WI,"$11,832.5",LNT,2020,,Madison,,,,yes,no,,no,no,Energy,no,no,,,,5,,,,
Workday,676,676,/company/workday/,"$3,627.2",28.5%,$-480.7,,"$6,816.4",,,,,Computer Software,CA,"$30,211",WDAY,2020,,Pleasanton,,,,no,yes,,no,yes,Technology,no,yes,,,,121,,,,
BMC Stock Holdings,677,677,/company/bmc-stock-holdings/,"$3,626.6",-1.5%,$109.8,-8.3%,"$1,906.1",,,,,Wholesalers: Diversified,NC,"$1,183.3",BMCH,2020,,Raleigh,,,,yes,no,,no,yes,Wholesalers,no,no,,,,-13,,,,
Abercrombie & Fitch,678,678,/company/abercrombie-fitch/,"$3,623.1",0.9%,$39.4,-47.2%,"$3,549.7",,,,,Specialty Retailers: Apparel,OH,$559.9,ANF,2020,,New Albany,,,,yes,no,,yes,yes,Retailing,no,no,,,,-3,,,,
Domino's Pizza,679,679,/company/dominos-pizza/,"$3,618.8",5.4%,$400.7,10.7%,"$1,382.1",,,,,Food Services,MI,"$12,647.1",DPZ,2020,,Ann Arbor,,,,yes,no,,no,no,"Hotels, Restaurants & Leisure",no,no,,,,13,,,,
Lyft,680,680,/company/lyft/,"$3,616",67.7%,"$-2,602.2",,"$5,691.4",,,,,Internet Services and Retailing,CA,"$8,233.3",LYFT,2020,,San Francisco,,,,no,yes,,no,yes,Technology,no,no,,,,261,,,,
Meredith,681,681,/company/meredith/,"$3,611.9",43.9%,$46.3,-53.4%,"$6,136.9",,,,,"Publishing, Printing",IA,$554.1,,2020,,Des Moines,,,,yes,no,,no,no,Media,no,no,,,,172,,,,
American Water Works,682,682,/company/american-water-works/,"$3,610",4.9%,$621,9.5%,"$22,682",,,,,zMiscellaneous,NJ,"$21,642.7",AWK,2020,,Camden,,,,yes,no,,no,no,Energy,no,no,,,,9,,,,
Albemarle,683,683,/company/albemarle/,"$3,589.4",6.4%,$533.2,-23.1%,"$9,860.9",,,,,Chemicals,NC,"$5,993.2",ALB,2020,,Charlotte,,,,yes,no,,no,yes,Chemicals,no,no,,,,19,,,,
Ciena,684,684,/company/ciena/,"$3,572.1",15.4%,$253.4,,"$3,893.3",,,,,Network and Other Communications Equipment,MD,"$6,111",CIEN,2020,,Hanover,,,,yes,no,,no,yes,Technology,no,no,,,,60,,,,
Barnes & Noble,685,685,/company/barnes-noble/,"$3,552.7",-3%,$3.8,,"$1,705.6",,,,,Specialty Retailers: Other,NY,,,2020,,New York,,,,yes,no,,no,no,Retailing,no,no,,,,-18,,,,
Weis Markets,686,686,/company/weis-markets/,"$3,543.3",1%,$68,8.4%,"$1,675.6",,,,,Food & Drug Stores,PA,"$1,120.6",WMK,2020,,Sunbury,,,,yes,no,,no,no,Food & Drug Stores,no,no,,,,-3,,,,
Illumina,687,687,/company/illumina/,"$3,543",6.3%,"$1,002",21.3%,"$7,316",,,,,"Scientific,Photographic and Control Equipment",CA,"$40,148.6",ILMN,2020,,San Diego,,,,yes,no,,no,yes,Technology,no,no,,,,21,,,,
SVB Financial Group,688,688,/company/svb-financial-group/,"$3,530.9",30.1%,"$1,136.9",16.7%,"$71,004.9",,,,,Commercial Banks,CA,"$7,787.7",SIVBQ,2020,,Santa Clara,,,,yes,no,,no,yes,Financials,no,no,,,,126,,,,
Carter's,689,689,/company/carters/,"$3,519.3",1.6%,$263.8,-6.5%,"$2,753.1",,,,,Apparel,GA,"$2,887.4",CRI,2020,,Atlanta,,,,yes,no,,no,no,Apparel,no,no,,,,,,,,
Stifel Financial,690,690,/company/stifel-financial/,"$3,515",10%,$448.4,13.8%,"$24,610.2",,,,,Securities,MO,"$2,870.3",SF,2020,,St. Louis,,,,yes,no,,no,yes,Financials,no,no,,,,39,,,,
Mednax,691,691,/company/mednax/,"$3,513.5",-3.7%,"$-1,497.7",-657.5%,"$4,145.9",,,,,Health Care: Pharmacy and Other Services,FL,$981,MD,2020,,Sunrise,,,,no,yes,,no,no,Health Care,no,no,,,,-22,,,,
Equifax,692,692,/company/equifax/,"$3,507.6",2.8%,$-398.8,-233%,"$7,909",,,,,Financial Data Services,GA,"$14,569.4",EFX,2020,,Atlanta,,,,no,no,,no,yes,Business Services,no,no,,,,4,,,,
Kar Auction Services,693,693,/company/kar-auction-services/,"$3,505.5",-7%,$188.5,-42.5%,"$6,581.2",,,,,Wholesalers: Diversified,IN,"$1,546.4",KAR,2020,,Carmel,,,,yes,no,,no,no,Wholesalers,no,no,,,,-38,,,,
Ashland,694,694,/company/ashland-global-holdings/,"$3,505",-6.4%,$505,343%,"$7,251",,,,,Chemicals,KY,"$3,016.6",ASH,2020,,Covington,,,,yes,no,,no,no,Chemicals,no,no,,,,-36,,,,
Medical Mutual of Ohio,695,695,/company/medical-mutual-of-ohio/,"$3,502.7",7.4%,$83.7,-46.9%,"$2,541.8",,,,,"Insurance: Life, Health (Mutual)",OH,,,2020,,Cleveland,,,,yes,no,,no,yes,Financials,no,no,,,,23,,,,
Sprague Resources,696,696,/company/sprague-resources/,"$3,502.4",-7.1%,$31.3,-60.8%,"$1,275.5",,,,,"Oil and Gas Equipment, Services",NH,$299.1,,2020,,Portsmouth,,,,yes,no,,no,no,Energy,no,no,,,,-42,,,,
Super Micro Computer,697,697,/company/super-micro-computer/,"$3,500.4",4.2%,$71.9,55.8%,"$1,682.6",,,,,"Computers, Office Equipment",CA,"$1,090.8",SMCI,2020,,San Jose,,,,yes,yes,,no,yes,Technology,no,no,,,,,,,,
Designer Brands,698,698,/company/dsw/,"$3,492.7",9.7%,$94.5,,"$2,465.1",,,,,Specialty Retailers: Apparel,OH,$357.3,DBI,2020,,Columbus,,,,yes,no,,no,no,Retailing,no,no,,,,34,,,,
Pitney Bowes,699,699,/company/pitney-bowes/,"$3,477.7",-6.9%,$194.6,-13%,"$5,466.9",,,,,"Computers, Office Equipment",CT,$349.6,PBI,2020,,Stamford,,,,yes,no,,no,no,Technology,no,no,,,,-40,,,,
Applied Industrial Technologies,700,700,/company/applied-industrial-technologies/,"$3,472.7",13%,$144,1.7%,"$2,331.7",,,,,Wholesalers: Diversified,OH,"$1,768.4",AIT,2020,,Cleveland,,,,yes,no,,no,yes,Wholesalers,no,no,,,,47,,,,
Pinnacle West Capital,701,701,/company/pinnacle-west-capital/,"$3,471.2",-6%,$538.3,5.3%,"$18,479.2",,,,,Utilities: Gas and Electric,AZ,"$8,521.8",PNW,2020,,Phoenix,,,,yes,no,,no,no,Energy,no,no,,,,-38,,,,
American National Group,702,702,/company/american-equity-investment-life-holding/,"$3,464.3",123.9%,$246.1,-46.3%,"$69,696.6",,,,,"Insurance: Life, Health (stock)",IA,"$1,716.3",AEL,2020,,West Des Moines,,,,yes,no,,no,yes,Financials,no,no,,,,,,,,
ServiceNow,703,703,/company/servicenow/,"$3,460.4",32.6%,$626.7,,"$6,022.4",,,,,Computer Software,CA,"$54,392.9",NOW,2020,,Santa Clara,,,,yes,no,,no,yes,Technology,no,no,,,,134,,,,
X (Twitter),704,704,/company/twitter/,"$3,459.3",13.7%,"$1,465.7",21.6%,"$12,703.4",,,,,Internet Services and Retailing,CA,"$19,213",,2020,,San Francisco,,,,yes,yes,,no,yes,Technology,no,no,,,,52,,,,
Calumet,705,705,/company/calumet-specialty-products/,"$3,452.6",-1.3%,$-43.6,,"$1,857.8",,,,,Petroleum Refining,IN,$81.7,CLMT,2020,,Indianapolis,,,,no,no,,no,no,Energy,no,no,,,,-19,,,,
Steelcase,706,706,/company/steelcase/,"$3,443.2",12.7%,$126,56.1%,"$2,142.4",,,,,"Home Equipment, Furnishings",MI,"$1,156.8",SCS,2020,,Grand Rapids,,,,yes,no,,no,yes,Household Products,no,no,,,,44,,,,
Sanderson Farms,707,707,/company/sanderson-farms/,"$3,440.3",6.3%,$53.3,-13.2%,"$1,774.1",,,,,Food Production,MS,"$2,742.4",,2020,,Laurel,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,15,,,,
WABCO Holdings,708,708,/company/wabco-holdings/,"$3,421.4",-10.7%,$245.8,-37.6%,"$4,037.1",,,,,Motor Vehicles & Parts,MI,"$6,924.1",,2020,,Auburn Hills,,,,yes,no,,no,no,Motor Vehicles & Parts,no,no,,,,-62,,,,
Clean Harbors,709,709,/company/clean-harbors/,"$3,412.2",3.4%,$97.7,48.9%,"$4,108.9",,,,,Waste Management,MA,"$2,866.3",CLH,2020,,Norwell,,,,yes,yes,,no,yes,Business Services,no,no,,,,5,,,,
Puget Energy,710,710,/company/puget-energy/,"$3,401.1",1.6%,$210.7,-10.6%,"$14,659.9",,,,,Utilities: Gas and Electric,WA,,,2020,,Bellevue,,,,yes,no,,yes,no,Energy,no,no,,,,-5,,,,
Light & Wonder,711,711,/company/scientific-games/,"$3,400",1.1%,$-130,,"$7,809",,,,,"Hotels, Casinos, Resorts",NV,$910.5,LNW,2020,,Las Vegas,,,,no,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,-7,,,,
Granite Construction,712,712,/company/granite-construction/,"$3,389.8",2.2%,$-105.4,-348.5%,"$2,633.8",,,,,"Engineering, Construction",CA,$709.5,GVA,2020,,Watsonville,,,,no,no,,no,no,Engineering & Construction,no,no,,,,,,,,
Carlyle Group,713,713,/company/carlyle-group/,"$3,377",39.1%,$380.9,227%,"$13,808.8",,,,,Securities,DC,"$7,539.2",CG,2020,,Washington,,,,yes,no,,no,yes,Financials,no,no,,,,161,,,,
Skyworks Solutions,714,714,/company/skyworks-solutions/,"$3,376.8",-12.7%,$853.6,-7.1%,"$4,839.6",,,,,Semiconductors and Other Electronic Components,CA,"$15,155.5",SWKS,2020,,Irvine,,,,yes,no,,no,no,Technology,no,no,,,,-74,,,,
Aleris,715,715,/company/aleris/,"$3,375.9",-2%,$-11.8,,"$2,712.2",,,,,Metals,OH,,,2020,,Cleveland,,,,no,no,,no,yes,Materials,no,no,,,,-25,,,,
Triple-S Management,716,716,/company/triple-s-management/,"$3,375.6",12.7%,$92.9,,"$2,818.8",,,,,Health Care: Insurance and Managed Care,PR,$345,GTS,2020,,San Juan,,,,yes,no,,no,yes,Health Care,no,no,,,,49,,,,
Hexion,717,717,/company/hexion/,"$3,374",-11.1%,,,"$4,146",,,,,Chemicals,OH,,,2020,,Columbus,,,,no,no,,no,no,Chemicals,no,no,,,,-65,,,,
Hologic,718,718,/company/hologic/,"$3,367.3",4.6%,$-203.6,,"$6,442.1",,,,,Medical Products and Equipment,MA,"$9,270.9",HOLX,2020,,Marlborough,,,,no,no,,no,yes,Health Care,no,no,,,,8,,,,
Triumph Group,719,719,/company/triumph-group/,"$3,364.9",5.2%,$-321.8,,"$2,854.6",,,,,Aerospace & Defense,PA,$350.5,TGI,2020,,Berwyn,,,,no,no,,no,no,Aerospace & Defense,no,no,,,,9,,,,
Darling Ingredients,720,720,/company/darling-ingredients/,"$3,363.9",-0.7%,$312.6,208%,"$5,345.3",,,,,Food Production,TX,"$3,144.6",DAR,2020,,Irving,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,-21,,,,
MSC Industrial Direct,721,721,/company/msc-industrial-direct/,"$3,363.8",5%,$288.9,-12.3%,"$2,311.2",,,,,Wholesalers: Diversified,NY,"$3,044.9",MSM,2020,,Melville,,,,yes,no,,no,yes,Wholesalers,no,no,,,,6,,,,
Red Hat,722,722,/company/red-hat/,"$3,362.1",15.1%,$434,67.7%,"$5,588.3",,,,,Computer Software,NC,,,2020,,Raleigh,,,,yes,no,,no,yes,Technology,no,yes,,,,54,,,,
Synopsys,723,723,/company/synopsys/,"$3,360.7",7.7%,$532.4,23.1%,"$6,405.2",,,,,Computer Software,CA,"$19,347.8",SNPS,2020,,Mountain View,,,,yes,yes,,no,yes,Technology,no,no,,,,17,,,,
Avient,724,724,/company/polyone/,"$3,351.6",-5.1%,$588.6,268.3%,"$3,273.3",,,,,Chemicals,OH,"$1,752.3",AVNT,2020,,Avon Lake,,,,yes,no,,no,no,Chemicals,no,no,,,,-43,,,,
Dycom Industries,725,725,/company/dycom-industries/,"$3,339.7",6.8%,$57.2,-9%,"$2,217.6",,,,,"Engineering, Construction",FL,$810.2,DY,2020,,Palm Beach Gardens,,,,yes,no,,no,yes,Engineering & Construction,no,no,,,,13,,,,
Cabot,726,726,/company/cabot/,"$3,337",2.9%,$157,,"$3,004",,,,,Chemicals,MA,"$1,480.5",CBT,2020,,Boston,,,,yes,no,,no,no,Chemicals,no,no,,,,-6,,,,
Prologis,727,727,/company/prologis/,"$3,330.6",18.8%,"$1,573",-4.6%,"$40,031.9",,,,,Real estate,CA,"$59,400.6",PLD,2020,,San Francisco,,,,yes,no,,no,yes,Financials,no,no,,,,72,,,,
Boyd Gaming,728,728,/company/boyd-gaming/,"$3,326.1",26.6%,$157.6,37%,"$6,650.1",,,,,"Hotels, Casinos, Resorts",NV,"$1,609.4",BYD,2020,,Las Vegas,,,,yes,no,,no,yes,"Hotels, Restaurants & Leisure",no,no,,,,106,,,,
LSC Communications,729,729,/company/lsc-communications/,"$3,326",-13.1%,$-295,,"$1,649",,,,,"Publishing, Printing",IL,$3,LKSDQ,2020,,Chicago,,,,no,no,,no,no,Media,no,no,,,,-80,,,,
Brown Forman,730,730,/company/brown-forman/,"$3,324",2.3%,$835,16.5%,"$5,139",,,,,Beverages,KY,"$25,843.4","BFA, BFB, BF26, BF28",2020,,Louisville,,,,yes,no,,no,yes,"Food, Beverages & Tobacco",no,no,,,,-11,,,,
Stericycle,731,731,/company/stericycle/,"$3,308.9",-5.1%,$-346.8,,"$6,437",,,,,Waste Management,IL,"$4,434",,2020,,Bannockburn,,,,no,no,,yes,no,Business Services,no,no,,,,-43,,,,
CIT Group,732,732,/company/cit-group/,"$3,296.1",-0.4%,$529.9,18.5%,"$50,832.8",,,,,Commercial Banks,NY,"$1,692",,2020,,New York,,,,yes,no,,yes,no,Financials,no,no,,,,-19,,,,
MDC Holdings,733,733,/company/mdc-holdings/,"$3,293.3",7.4%,$238.3,13.1%,"$3,338.4",,,,,Homebuilders,CO,"$1,462.8",,2020,,Denver,,,,yes,no,,no,yes,Engineering & Construction,no,no,,,,15,,,,
Hyster-Yale,734,734,/company/hyster-yale-materials-handling/,"$3,291.8",3.7%,$35.8,3.2%,"$1,847.2",,,,,Industrial Machinery,OH,$672.8,HY,2020,,Cleveland,,,,yes,no,,no,yes,Industrials,no,no,,,,-1,,,,
Crane NXT,735,735,/company/crane/,"$3,283.1",-1.9%,$133.3,-60.3%,"$4,423.7",,,,,Industrial Machinery,CT,"$2,911.4",CXT,2020,,Stamford,,,,yes,no,,no,yes,Industrials,no,no,,,,-29,,,,
